NAME;Type;Width;Decimals;Label;Values;Missing;Columns;Align;Measure;Role
NES_F02_MEAN10;Numeric;8;2;In my country, new and growing firms can afford the cost of using subcontractors, suppliers, and consultants;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_F03_MEAN10;Numeric;8;2;In my country, it is easy for new and growing firms to get good subcontractors, suppliers, and consultants;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_F04_MEAN10;Numeric;8;2;In my country, it is easy for new and growing firms to get good, professional legal and accounting services;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_F05_MEAN10;Numeric;8;2;In my country, it is easy for new and growing firms to get good banking services (checking accounts, foreign exchange transactions, letters of credit, and the like);{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_G01_MEAN10;Numeric;8;2;In my country, the markets for consumer goods and services change dramatically from year to year;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_G02_MEAN10;Numeric;8;2;In my country, the markets for business-to-business goods and services change dramatically from year to year;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_G03_MEAN10;Numeric;8;2;In my country, new and growing firms can easily enter new markets;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_G04_MEAN10;Numeric;8;2;In my country, the new and growing firms can afford the cost of market entry;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_G05_MEAN10;Numeric;8;2;In my country, new and growing firms can enter markets without being unfairly blocked by established firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_G06_MEAN10;Numeric;8;2;In my country, the anti-trust legislation is effective and well enforced;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_H01_MEAN10;Numeric;8;2;In my country, the physical infrastructure (roads, utilities, communications, waste disposal) provides good support for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_H02_MEAN10;Numeric;8;2;In my country, it is not too expensive for a new or growing firm to get good access to communications (phone, Internet, etc );{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_H03_MEAN10;Numeric;8;2;In my country, a new or growing firm can get good access to communications (telephone, internet, etc ) in about a week;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_H04_MEAN10;Numeric;8;2;In my country, new and growing firms can afford the cost of basic utilities (gas, water, electricity, sewer);{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_H05_MEAN10;Numeric;8;2;In my country, new or growing firms can get good access to utilities (gas, water, electricity, sewer) in about a month;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_I01_MEAN10;Numeric;8;2;In my country, the national culture is highly supportive of individual success achieved through own personal efforts;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_I02_MEAN10;Numeric;8;2;In my country, the national culture emphasizes self-sufficiency, autonomy, and personal initiative;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_I03_MEAN10;Numeric;8;2;In my country, the national culture encourages entrepreneurial risk-taking;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_I04_MEAN10;Numeric;8;2;In my country, the national culture encourages creativity and innovativeness;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_I05_MEAN10;Numeric;8;2;In my country, the national culture emphasizes the responsibility that the individual (rather than the collective) has in managing his or her own life;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
STDDEV_10;String;1;0;STANDARD DEVIATIONS FOR EACH VARIABLE OF THE CLOSED PART OF THE NES QUESTIONNAIRE;None;None;8;Left;Nominal;Input
COUNTRY_2;Numeric;8;2;Country (Phone code);{1,00, USA}...;None;8;Right;Scale;Input
NES_INQ_SD10;Numeric;8;2;How do you perceive the current overall state of your country’s (name of the country, region, city…) context for entrepreneurs or set of framework conditions that are facing entrepreneurs to develop their activities:;{,00, Extremelly bad conditions}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A01_SD10;Numeric;8;2;In my country, there is sufficient equity funding available for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A02_SD10;Numeric;8;2;In my country, there is sufficient debt funding available for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A03_SD10;Numeric;8;2;In my country, there are sufficient government subsidies available for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A04_SD10;Numeric;8;2;In my country, there is sufficient funding available from informal investors (family, friends and colleagues) who are private individuals (other than founders) for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A05_SD10;Numeric;8;2;In my country, there is sufficient funding available from professional Business Angels for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A06_SD10;Numeric;8;2;In my country, there is sufficient funding available from venture capitalists for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A07_SD10;Numeric;8;2;In my country, there is sufficient funding available through initial public offerings (IPOs) for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A08_SD10;Numeric;8;2;In my country, there is sufficient funding available through private lenders' funding (crowdfunding) available for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B01_SD10;Numeric;8;2;In my country, Government policies (e g , public procurement) consistently favor new firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B02_SD10;Numeric;8;2;In my country, the support for new and growing firms is a high priority for policy at the national government level;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B03_SD10;Numeric;8;2;In my country, the support for new and growing firms is a high priority for policy at the local government level;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B04_SD10;Numeric;8;2;In my country, new firms can get most of the required permits and licenses in about a week;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B05_SD10;Numeric;8;2;In my country, the amount of taxes is NOT a burden for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B06_SD10;Numeric;8;2;In my country, taxes and other government regulations are applied to new and growing firms in a predictable and consistent way;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B07_SD10;Numeric;8;2;In my country, coping with government bureaucracy, regulations, and licensing requirements it is not unduly difficult for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C01_SD10;Numeric;8;2;In my country, a wide range of government assistance for new and growing firms can be obtained through contact with a single agency;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C02_SD10;Numeric;8;2;In my country, science parks and business incubators provide effective support for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C03_SD10;Numeric;8;2;In my country, there are an adequate number of government programs for new and growing businesses;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C04_SD10;Numeric;8;2;In my country, the people working for government agencies are competent and effective in supporting new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C05_SD10;Numeric;8;2;In my country, almost anyone who needs help from a government program for a new or growing business can find what they need;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C06_SD10;Numeric;8;2;In my country, Government programs aimed at supporting new and growing firms are effective;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D01_SD10;Numeric;8;2;In my country, teaching in primary and secondary education encourages creativity, self-sufficiency, and personal initiative;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D02_SD10;Numeric;8;2;In my country, teaching in primary and secondary education provides adequate instruction in market economic principles;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D03_SD10;Numeric;8;2;In my country, teaching in primary and secondary education provides adequate attention to entrepreneurship and new firm creation;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D04_SD10;Numeric;8;2;In my country, Colleges and universities provide good and adequate preparation for starting up and growing new firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D05_SD10;Numeric;8;2;In my country, the level of business and management education provide good and adequate preparation for starting up and growing new firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D06_SD10;Numeric;8;2;In my country, the vocational, professional, and continuing education systems provide good and adequate preparation for starting up and growing new firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E01_SD10;Numeric;8;2;In my country, new technology, science, and other knowledge are efficiently transferred from universities and public research centers to new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E02_SD10;Numeric;8;2;In my country, new and growing firms have just as much access to new research and technology as large, established firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E03_SD10;Numeric;8;2;In my country, new and growing firms can afford the latest technology;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E04_SD10;Numeric;8;2;In my country, there are adequate government subsidies for new and growing firms to acquire new technology;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E05_SD10;Numeric;8;2;In my country, the science and technology base efficiently supports the creation of world-class new technology-based ventures in at least one area;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E06_SD10;Numeric;8;2;In my country, there is good support available for engineers and scientists to have their ideas commercialized through new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_F01_SD10;Numeric;8;2;In my country, there are enough subcontractors, suppliers, and consultants to support new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_F02_SD10;Numeric;8;2;In my country, new and growing firms can afford the cost of using subcontractors, suppliers, and consultants;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_F03_SD10;Numeric;8;2;In my country, it is easy for new and growing firms to get good subcontractors, suppliers, and consultants;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_F04_SD10;Numeric;8;2;In my country, it is easy for new and growing firms to get good, professional legal and accounting services;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_F05_SD10;Numeric;8;2;In my country, it is easy for new and growing firms to get good banking services (checking accounts, foreign exchange transactions, letters of credit, and the like);{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_G01_SD10;Numeric;8;2;In my country, the markets for consumer goods and services change dramatically from year to year;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_G02_SD10;Numeric;8;2;In my country, the markets for business-to-business goods and services change dramatically from year to year;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_G03_SD10;Numeric;8;2;In my country, new and growing firms can easily enter new markets;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_G04_SD10;Numeric;8;2;In my country, the new and growing firms can afford the cost of market entry;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_G05_SD10;Numeric;8;2;In my country, new and growing firms can enter markets without being unfairly blocked by established firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_G06_SD10;Numeric;8;2;In my country, the anti-trust legislation is effective and well enforced;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_H01_SD10;Numeric;8;2;In my country, the physical infrastructure (roads, utilities, communications, waste disposal) provides good support for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_H02_SD10;Numeric;8;2;In my country, it is not too expensive for a new or growing firm to get good access to communications (phone, Internet, etc );{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_H03_SD10;Numeric;8;2;In my country, a new or growing firm can get good access to communications (telephone, internet, etc ) in about a week;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_H04_SD10;Numeric;8;2;In my country, new and growing firms can afford the cost of basic utilities (gas, water, electricity, sewer);{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_H05_SD10;Numeric;8;2;In my country, new or growing firms can get good access to utilities (gas, water, electricity, sewer) in about a month;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_I01_SD10;Numeric;8;2;In my country, the national culture is highly supportive of individual success achieved through own personal efforts;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_I02_SD10;Numeric;8;2;In my country, the national culture emphasizes self-sufficiency, autonomy, and personal initiative;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_I03_SD10;Numeric;8;2;In my country, the national culture encourages entrepreneurial risk-taking;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_I04_SD10;Numeric;8;2;In my country, the national culture encourages creativity and innovativeness;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_I05_SD10;Numeric;8;2;In my country, the national culture emphasizes the responsibility that the individual (rather than the collective) has in managing his or her own life;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
MEDIANS_10;String;1;0;MEDIANS FOR EACH VARIABLE OF THE CLOSED PART OF THE NES QUESTIONNAIRE;None;None;8;Left;Nominal;Input
COUNTRY_3;Numeric;8;2;Country (Phone code);{1,00, USA}...;None;8;Right;Scale;Input
NES_INQ_MED10;Numeric;8;2;How do you perceive the current overall state of your country’s (name of the country, region, city…) context for entrepreneurs or set of framework conditions that are facing entrepreneurs to develop their activities:;{,00, Extremelly bad conditions}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A01_MED10;Numeric;8;2;In my country, there is sufficient equity funding available for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A02_MED10;Numeric;8;2;In my country, there is sufficient debt funding available for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A03_MED10;Numeric;8;2;In my country, there are sufficient government subsidies available for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A04_MED10;Numeric;8;2;In my country, there is sufficient funding available from informal investors (family, friends and colleagues) who are private individuals (other than founders) for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A05_MED10;Numeric;8;2;In my country, there is sufficient funding available from professional Business Angels for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A06_MED10;Numeric;8;2;In my country, there is sufficient funding available from venture capitalists for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A07_MED10;Numeric;8;2;In my country, there is sufficient funding available through initial public offerings (IPOs) for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_A08_MED10;Numeric;8;2;In my country, there is sufficient funding available through private lenders' funding (crowdfunding) available for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B01_MED10;Numeric;8;2;In my country, Government policies (e g , public procurement) consistently favor new firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B02_MED10;Numeric;8;2;In my country, the support for new and growing firms is a high priority for policy at the national government level;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B03_MED10;Numeric;8;2;In my country, the support for new and growing firms is a high priority for policy at the local government level;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B04_MED10;Numeric;8;2;In my country, new firms can get most of the required permits and licenses in about a week;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B05_MED10;Numeric;8;2;In my country, the amount of taxes is NOT a burden for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B06_MED10;Numeric;8;2;In my country, taxes and other government regulations are applied to new and growing firms in a predictable and consistent way;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_B07_MED10;Numeric;8;2;In my country, coping with government bureaucracy, regulations, and licensing requirements it is not unduly difficult for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C01_MED10;Numeric;8;2;In my country, a wide range of government assistance for new and growing firms can be obtained through contact with a single agency;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C02_MED10;Numeric;8;2;In my country, science parks and business incubators provide effective support for new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C03_MED10;Numeric;8;2;In my country, there are an adequate number of government programs for new and growing businesses;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C04_MED10;Numeric;8;2;In my country, the people working for government agencies are competent and effective in supporting new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C05_MED10;Numeric;8;2;In my country, almost anyone who needs help from a government program for a new or growing business can find what they need;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_C06_MED10;Numeric;8;2;In my country, Government programs aimed at supporting new and growing firms are effective;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D01_MED10;Numeric;8;2;In my country, teaching in primary and secondary education encourages creativity, self-sufficiency, and personal initiative;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D02_MED10;Numeric;8;2;In my country, teaching in primary and secondary education provides adequate instruction in market economic principles;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D03_MED10;Numeric;8;2;In my country, teaching in primary and secondary education provides adequate attention to entrepreneurship and new firm creation;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D04_MED10;Numeric;8;2;In my country, Colleges and universities provide good and adequate preparation for starting up and growing new firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D05_MED10;Numeric;8;2;In my country, the level of business and management education provide good and adequate preparation for starting up and growing new firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_D06_MED10;Numeric;8;2;In my country, the vocational, professional, and continuing education systems provide good and adequate preparation for starting up and growing new firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E01_MED10;Numeric;8;2;In my country, new technology, science, and other knowledge are efficiently transferred from universities and public research centers to new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E02_MED10;Numeric;8;2;In my country, new and growing firms have just as much access to new research and technology as large, established firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E03_MED10;Numeric;8;2;In my country, new and growing firms can afford the latest technology;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E04_MED10;Numeric;8;2;In my country, there are adequate government subsidies for new and growing firms to acquire new technology;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E05_MED10;Numeric;8;2;In my country, the science and technology base efficiently supports the creation of world-class new technology-based ventures in at least one area;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_E06_MED10;Numeric;8;2;In my country, there is good support available for engineers and scientists to have their ideas commercialized through new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_F01_MED10;Numeric;8;2;In my country, there are enough subcontractors, suppliers, and consultants to support new and growing firms;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_F02_MED10;Numeric;8;2;In my country, new and growing firms can afford the cost of using subcontractors, suppliers, and consultants;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
NES_F03_MED10;Numeric;8;2;In my country, it is easy for new and growing firms to get good subcontractors, suppliers, and consultants;{,00, Completely false}...;97,00, 98,00, 99,00;8;Right;Scale;Input
